,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
69,3,NSH,EN,P.K. Subban , Pekka Rinne,Austin Watson,2,00:59:42,00:19:42,ANA,2017-11-03,8,5,3582.0,NSH,3.0,5.0,Insurance Goal,2018
70,1,NSH,,Miikka Salomaki , Yannick Weber,Calle Jarnkrok,1,00:09:12,00:09:12,LAK,2017-11-04,1,1,552.0,NSH,0.0,1.0,Go-Ahead Goal,2018
71,1,NSH,,P.K. Subban , Scott Hartnell,Ryan Johansen,3,00:10:06,00:10:06,LAK,2017-11-04,2,2,606.0,NSH,0.0,2.0,Insurance Goal,2018
72,2,NSH,,Craig Smith , Filip Forsberg,,4,00:24:47,00:04:47,LAK,2017-11-04,3,3,1487.0,NSH,0.0,3.0,Insurance Goal,2018
73,3,LAK,,Alex Iafallo , Anze Kopitar,Tyler Toffoli,1,00:40:16,00:00:16,LAK,2017-11-04,4,1,2416.0,NSH,1.0,3.0,Lead Shrink,2018
74,3,LAK,,Christian Folin , Derek Forbort,Tanner Pearson,1,00:45:20,00:05:20,LAK,2017-11-04,5,2,2720.0,NSH,2.0,3.0,Go-Ahead Goal,2018
75,3,LAK,PP,Alec Martinez , Drew Doughty,Anze Kopitar,2,00:52:16,00:12:16,LAK,2017-11-04,6,3,3136.0,NSH,3.0,3.0,Tie,2018
76,1,NSH,,Viktor Arvidsson , Calle Jarnkrok,,5,00:04:40,00:04:40,LAK,2017-11-04,7,4,280.0,NSH,3.0,4.0,Go-Ahead Goal,2018
77,2,NSH,,Matt Irwin , Viktor Arvidsson,Mattias Ekholm,2,00:32:36,00:12:36,CBJ,2017-11-07,1,1,1956.0,NSH,0.0,1.0,Go-Ahead Goal,2018
78,3,CBJ,,Pierre-Luc Dubois ,,,2,00:44:37,00:04:37,CBJ,2017-11-07,2,1,2677.0,NSH,1.0,1.0,Tie,2018
79,3,NSH,,Calle Jarnkrok , Miikka Salomaki,Kevin Fiala,2,00:54:25,00:14:25,CBJ,2017-11-07,3,2,3265.0,NSH,1.0,2.0,Go-Ahead Goal,2018
80,3,NSH,EN,Viktor Arvidsson , Miikka Salomaki,,6,00:59:44,00:19:44,CBJ,2017-11-07,4,3,3584.0,NSH,1.0,3.0,Insurance Goal,2018
81,1,PIT,SH,Bryan Rust , Kris Letang,,2,00:11:58,00:11:58,NSH,2017-11-11,1,1,718.0,Shootout,0.0,1.0,Go-Ahead Goal,2018
82,2,NSH,,Kyle Turris , Miikka Salomaki,,4,00:22:01,00:02:01,NSH,2017-11-11,2,1,1321.0,Shootout,1.0,1.0,Tie,2018
83,2,NSH,PP,P.K. Subban , Filip Forsberg,Viktor Arvidsson,4,00:23:52,00:03:52,NSH,2017-11-11,3,2,1432.0,Shootout,2.0,1.0,Go-Ahead Goal,2018
84,2,NSH,PP,Craig Smith , Filip Forsberg,Ryan Johansen,5,00:25:29,00:05:29,NSH,2017-11-11,4,3,1529.0,Shootout,3.0,1.0,Insurance Goal,2018
85,2,PIT,,Phil Kessel , Evgeni Malkin,Kris Letang,7,00:32:27,00:12:27,NSH,2017-11-11,5,2,1947.0,Shootout,3.0,2.0,Go-Ahead Goal,2018
86,3,PIT,,Jake Guentzel , Justin Schultz,,5,00:42:27,00:02:27,NSH,2017-11-11,6,3,2547.0,Shootout,3.0,3.0,Tie,2018
87,3,NSH,,Calle Jarnkrok , Kyle Turris,Craig Smith,3,00:44:46,00:04:46,NSH,2017-11-11,7,4,2686.0,Shootout,4.0,3.0,Go-Ahead Goal,2018
88,3,PIT,,Brian Dumoulin , Conor Sheary,Phil Kessel,1,00:47:43,00:07:43,NSH,2017-11-11,8,4,2863.0,Shootout,4.0,4.0,Tie,2018
89,1,NSH,,Craig Smith , Kevin Fiala,Anthony Bitetto,6,00:11:48,00:11:48,NSH,2017-11-14,1,1,708.0,NSH,1.0,0.0,Go-Ahead Goal,2018
