,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
1603,2,DAL,SH,Esa Lindell , Mattias Janmark,Taylor Fedun,6,00:28:36,00:08:36,COL,2018-12-15,4,1,1716.0,COL,3.0,1.0,Lead Shrink
1604,2,DAL,,Tyler Seguin , Denis Gurianov,,9,00:29:20,00:09:20,COL,2018-12-15,5,2,1760.0,COL,3.0,2.0,Go-Ahead Goal
1605,2,COL,PP,Mikko Rantanen , Nathan MacKinnon,J.T. Compher,15,00:34:53,00:14:53,COL,2018-12-15,6,4,2093.0,COL,4.0,2.0,Insurance Goal
1606,3,DAL,PP,Tyler Seguin , Taylor Fedun,Alexander Radulov,10,00:53:14,00:13:14,COL,2018-12-15,7,3,3194.0,COL,4.0,3.0,Go-Ahead Goal
1607,3,DAL,,Jamie Benn , Tyler Seguin,Alexander Radulov,13,00:55:24,00:15:24,COL,2018-12-15,8,4,3324.0,COL,4.0,4.0,Tie
1608,3,COL,,Gabriel Landeskog , Erik Johnson,,21,00:56:40,00:16:40,COL,2018-12-15,9,5,3400.0,COL,5.0,4.0,Go-Ahead Goal
1609,3,COL,EN,Nathan MacKinnon , Mikko Rantanen,,21,00:58:37,00:18:37,COL,2018-12-15,10,6,3517.0,COL,6.0,4.0,Insurance Goal
1610,1,DAL,,Jamie Benn , Tyler Seguin,Alexander Radulov,14,00:12:15,00:12:15,DAL,2018-12-18,1,1,735.0,DAL,1.0,0.0,Go-Ahead Goal
1611,2,DAL,,Radek Faksa , Martin Hanzal,Tyler Pitlick,6,00:37:17,00:17:17,DAL,2018-12-18,2,2,2237.0,DAL,2.0,0.0,Insurance Goal
1612,1,CHI,,Alex DeBrincat , Dylan Sikura,David Kampf,15,00:01:12,00:01:12,DAL,2018-12-20,1,1,72.0,CHI,0.0,1.0,Go-Ahead Goal
1613,1,CHI,PP,Erik Gustafsson , Alex DeBrincat,Patrick Kane,8,00:17:23,00:17:23,DAL,2018-12-20,2,2,1043.0,CHI,0.0,2.0,Insurance Goal
1614,2,CHI,,Patrick Kane , Artem Anisimov,Connor Murphy,16,00:21:56,00:01:56,DAL,2018-12-20,3,3,1316.0,CHI,0.0,3.0,Insurance Goal
1615,2,DAL,,Tyler Seguin , Jamie Benn,Denis Gurianov,11,00:28:15,00:08:15,DAL,2018-12-20,4,1,1695.0,CHI,1.0,3.0,Lead Shrink
1616,3,DAL,,Taylor Fedun , Jamie Benn,Alexander Radulov,2,00:46:16,00:06:16,DAL,2018-12-20,5,2,2776.0,CHI,2.0,3.0,Go-Ahead Goal
