,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
42,2,BOS,,David Krejci , Matt Grzelcyk,Danton Heinen,1,00:31:17,00:11:17,EDM,2018-10-18,1,1,1877.0,EDM,0.0,1.0,Go-Ahead Goal
43,2,EDM,,Kailer Yamamoto , Adam Larsson,Kris Russell,1,00:33:24,00:13:24,EDM,2018-10-18,2,1,2004.0,EDM,1.0,1.0,Tie
44,3,EDM,PP,Ryan Nugent-Hopkins , Connor McDavid,Oscar Klefbom,2,00:47:33,00:07:33,EDM,2018-10-18,3,2,2853.0,EDM,2.0,1.0,Go-Ahead Goal
45,3,BOS,,David Pastrnak , Brad Marchand,Charlie McAvoy,8,00:51:26,00:11:26,EDM,2018-10-18,4,2,3086.0,EDM,2.0,2.0,Tie
46,1,EDM,,Leon Draisaitl , Connor McDavid,,2,00:00:37,00:00:37,EDM,2018-10-18,5,3,37.0,EDM,3.0,2.0,Go-Ahead Goal
47,1,VAN,,Brandon Sutter , Jake Virtanen,Troy Stecher,3,00:03:40,00:03:40,VAN,2018-10-20,1,1,220.0,VAN,1.0,0.0,Go-Ahead Goal
48,3,BOS,,Joakim Nordstrom , John Moore,Matt Grzelcyk,2,00:47:45,00:07:45,VAN,2018-10-20,2,1,2865.0,VAN,1.0,1.0,Tie
49,OT1,VAN,,Bo Horvat , Brock Boeser,,5,01:03:12,00:03:12,VAN,2018-10-20,3,2,3792.0,VAN,2.0,1.0,Go-Ahead Goal
50,1,BOS,,David Pastrnak , Danton Heinen,David Krejci,9,00:11:17,00:11:17,OTT,2018-10-23,1,1,677.0,BOS,0.0,1.0,Go-Ahead Goal
51,2,OTT,PP,Thomas Chabot , Bobby Ryan,Mark Stone,3,00:37:51,00:17:51,OTT,2018-10-23,2,1,2271.0,BOS,1.0,1.0,Tie
52,2,BOS,PP,David Krejci , David Pastrnak,Patrice Bergeron,2,00:39:09,00:19:09,OTT,2018-10-23,3,2,2349.0,BOS,1.0,2.0,Go-Ahead Goal
53,3,BOS,PP,Patrice Bergeron , David Pastrnak,Matt Grzelcyk,7,00:40:21,00:00:21,OTT,2018-10-23,4,3,2421.0,BOS,1.0,3.0,Insurance Goal
54,3,BOS,,David Pastrnak , Brad Marchand,Patrice Bergeron,10,00:45:31,00:05:31,OTT,2018-10-23,5,4,2731.0,BOS,1.0,4.0,Insurance Goal
55,2,BOS,,Zdeno Chara , Danton Heinen,,2,00:33:00,00:13:00,BOS,2018-10-25,1,1,1980.0,BOS,1.0,0.0,Go-Ahead Goal
56,2,BOS,PP,Jake Debrusk , David Krejci,Steven Kampfer,3,00:37:28,00:17:28,BOS,2018-10-25,2,2,2248.0,BOS,2.0,0.0,Insurance Goal
57,3,BOS,PPEN,Zdeno Chara , Jaroslav Halak,,3,00:59:37,00:19:37,BOS,2018-10-25,3,3,3577.0,BOS,3.0,0.0,Insurance Goal
58,1,MTL,,Brendan Gallagher , Matthew Peca,Xavier Ouellet,6,00:09:18,00:09:18,BOS,2018-10-27,1,1,558.0,MTL,0.0,1.0,Go-Ahead Goal
59,1,MTL,,Max Domi , Jonathan Drouin,Artturi Lehkonen,5,00:10:39,00:10:39,BOS,2018-10-27,2,2,639.0,MTL,0.0,2.0,Insurance Goal
60,3,MTL,EN,Jordie Benn , Phillip Danault,,1,00:59:31,00:19:31,BOS,2018-10-27,3,3,3571.0,MTL,0.0,3.0,Insurance Goal
61,1,CAR,PP,Micheal Ferland , Sebastian Aho,Valentin Zykov,7,00:17:54,00:17:54,CAR,2018-10-30,1,1,1074.0,BOS,1.0,0.0,Go-Ahead Goal
62,2,BOS,PP,David Pastrnak , Torey Krug,Patrice Bergeron,11,00:32:22,00:12:22,CAR,2018-10-30,2,1,1942.0,BOS,1.0,1.0,Tie
63,2,CAR,PP,Dougie Hamilton , Jordan Staal,,2,00:38:33,00:18:33,CAR,2018-10-30,3,2,2313.0,BOS,2.0,1.0,Go-Ahead Goal
