,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
466,1,CGY,,Garnet Hathaway , Andrew Mangiapane,Derek Ryan,9,00:11:15,00:11:15,CGY,2019-03-21,3,2,675.0,CGY,2.0,1.0,Go-Ahead Goal
467,2,CGY,,Andrew Mangiapane , Derek Ryan,Garnet Hathaway,6,00:29:00,00:09:00,CGY,2019-03-21,4,3,1740.0,CGY,3.0,1.0,Insurance Goal
468,3,CGY,,Mikael Backlund , Michael Frolik,Matthew Tkachuk,20,00:51:23,00:11:23,CGY,2019-03-21,5,4,3083.0,CGY,4.0,1.0,Insurance Goal
469,3,CGY,,Matthew Tkachuk , Michael Frolik,Rasmus Andersson,34,00:58:33,00:18:33,CGY,2019-03-21,6,5,3513.0,CGY,5.0,1.0,Insurance Goal
470,1,CGY,,Mark Giordano , Derek Ryan,Garnet Hathaway,16,00:09:44,00:09:44,VAN,2019-03-23,1,1,584.0,CGY,0.0,1.0,Go-Ahead Goal
471,2,CGY,,Garnet Hathaway , Mark Giordano,,10,00:37:08,00:17:08,VAN,2019-03-23,2,2,2228.0,CGY,0.0,2.0,Insurance Goal
472,3,VAN,PP,Brock Boeser , Alexander Edler,Elias Pettersson,25,00:40:38,00:00:38,VAN,2019-03-23,3,1,2438.0,CGY,1.0,2.0,Go-Ahead Goal
473,3,CGY,,Andrew Mangiapane , Mark Giordano,,7,00:47:25,00:07:25,VAN,2019-03-23,4,3,2845.0,CGY,1.0,3.0,Insurance Goal
474,1,LAK,,Derek Forbort , Jeff Carter,Kyle Clifford,2,00:00:57,00:00:57,CGY,2019-03-25,1,1,57.0,LAK,0.0,1.0,Go-Ahead Goal
475,3,LAK,,Jonny Brodzinski , Trevor Lewis,Dion Phaneuf,2,00:51:51,00:11:51,CGY,2019-03-25,2,2,3111.0,LAK,0.0,2.0,Insurance Goal
476,3,LAK,EN,Tyler Toffoli ,,,13,00:55:57,00:15:57,CGY,2019-03-25,3,3,3357.0,LAK,0.0,3.0,Insurance Goal
477,1,DAL,PP,Alexander Radulov , Roope Hintz,Tyler Seguin,25,00:17:26,00:17:26,CGY,2019-03-27,1,1,1046.0,DAL,0.0,1.0,Go-Ahead Goal
478,3,DAL,PP,Miro Heiskanen , Radek Faksa,Mattias Janmark,11,00:52:24,00:12:24,CGY,2019-03-27,2,2,3144.0,DAL,0.0,2.0,Insurance Goal
479,3,CGY,,T.J. Brodie , Johnny Gaudreau,Noah Hanifin,9,00:58:28,00:18:28,CGY,2019-03-27,3,1,3508.0,DAL,1.0,2.0,Go-Ahead Goal
