,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
135,2,WSH,,Michal Kempny , Jakub Vrana,Lars Eller,1,00:29:28,00:09:28,WSH,2018-11-21,3,3,1768.0,WSH,3.0,0.0,Insurance Goal
136,2,CHI,,Brandon Saad , Jonathan Toews,Duncan Keith,7,00:31:37,00:11:37,WSH,2018-11-21,4,1,1897.0,WSH,3.0,1.0,Lead Shrink
137,3,CHI,,Erik Gustafsson , Artem Anisimov,Nick Schmaltz,2,00:45:23,00:05:23,WSH,2018-11-21,5,2,2723.0,WSH,3.0,2.0,Go-Ahead Goal
138,3,WSH,,Devante Smith-Pelly , Travis Boyd,John Carlson,4,00:47:12,00:07:12,WSH,2018-11-21,6,4,2832.0,WSH,4.0,2.0,Insurance Goal
139,1,DET,,Andreas Athanasiou , Thomas Vanek,Danny DeKeyser,10,00:08:46,00:08:46,WSH,2018-11-23,1,1,526.0,WSH,0.0,1.0,Go-Ahead Goal
140,2,WSH,,Tom Wilson , Nicklas Backstrom,Alex Ovechkin,3,00:32:13,00:12:13,WSH,2018-11-23,2,1,1933.0,WSH,1.0,1.0,Tie
141,3,WSH,,Michal Kempny , Travis Boyd,Andre Burakovsky,2,00:46:38,00:06:38,WSH,2018-11-23,3,2,2798.0,WSH,2.0,1.0,Go-Ahead Goal
142,3,WSH,,Alex Ovechkin , Nic Dowd,Tom Wilson,16,00:48:34,00:08:34,WSH,2018-11-23,4,3,2914.0,WSH,3.0,1.0,Insurance Goal
143,1,NYR,,Jimmy Vesey , Jesper Fast,Kevin Hayes,8,00:09:12,00:09:12,NYR,2018-11-24,1,1,552.0,WSH,1.0,0.0,Go-Ahead Goal
144,2,NYR,,Brady Skjei , Brendan Smith,Kevin Hayes,2,00:29:39,00:09:39,NYR,2018-11-24,2,2,1779.0,WSH,2.0,0.0,Insurance Goal
145,2,WSH,,Nic Dowd , John Carlson,Brett Connolly,2,00:30:10,00:10:10,NYR,2018-11-24,3,1,1810.0,WSH,2.0,1.0,Go-Ahead Goal
146,2,WSH,,Jakub Vrana ,,,6,00:36:27,00:16:27,NYR,2018-11-24,4,2,2187.0,WSH,2.0,2.0,Tie
147,2,WSH,,Alex Ovechkin , John Carlson,Dmitry Orlov,17,00:39:30,00:19:30,NYR,2018-11-24,5,3,2370.0,WSH,2.0,3.0,Go-Ahead Goal
148,3,NYR,,Ryan Strome , Brett Howden,Neal Pionk,2,00:45:30,00:05:30,NYR,2018-11-24,6,3,2730.0,WSH,3.0,3.0,Tie
149,3,WSH,,Brett Connolly , John Carlson,Jakub Vrana,4,00:53:36,00:13:36,NYR,2018-11-24,7,4,3216.0,WSH,3.0,4.0,Go-Ahead Goal
150,3,WSH,EN,Tom Wilson , Michal Kempny,,4,00:58:52,00:18:52,NYR,2018-11-24,8,5,3532.0,WSH,3.0,5.0,Insurance Goal
151,1,NYI,,Valtteri Filppula , Ryan Pulock,Leo Komarov,7,00:00:36,00:00:36,NYI,2018-11-26,1,1,36.0,WSH,1.0,0.0,Go-Ahead Goal
